timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671080610652,2674,Index-1,200,OK,Thread Group 1-252,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610522,2809,Index,200,OK,Thread Group 1-92,text,true,,3848,292,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610522,136,Index-0,301,Moved Permanently,Thread Group 1-92,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,136,0,0
1671080610658,2673,Index-1,200,OK,Thread Group 1-92,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610527,2809,Index,200,OK,Thread Group 1-115,text,true,,3848,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610527,135,Index-0,301,Moved Permanently,Thread Group 1-115,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610662,2674,Index-1,200,OK,Thread Group 1-115,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610533,2808,Index,200,OK,Thread Group 1-137,text,true,,3846,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610533,135,Index-0,301,Moved Permanently,Thread Group 1-137,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610668,2673,Index-1,200,OK,Thread Group 1-137,text,true,,3679,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610539,2810,Index,200,OK,Thread Group 1-87,text,true,,3869,292,500,500,https://reservasmedicas-production.up.railway.app/,132,0,0
1671080610539,132,Index-0,301,Moved Permanently,Thread Group 1-87,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,132,0,0
1671080610671,2678,Index-1,200,OK,Thread Group 1-87,text,true,,3702,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610544,2811,Index,200,OK,Thread Group 1-143,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610544,137,Index-0,301,Moved Permanently,Thread Group 1-143,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,137,0,0
1671080610681,2674,Index-1,200,OK,Thread Group 1-143,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610551,2809,Index,200,OK,Thread Group 1-139,text,true,,3846,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610551,133,Index-0,301,Moved Permanently,Thread Group 1-139,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610684,2676,Index-1,200,OK,Thread Group 1-139,text,true,,3679,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610556,2809,Index,200,OK,Thread Group 1-112,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,132,0,0
1671080610556,132,Index-0,301,Moved Permanently,Thread Group 1-112,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,132,0,0
1671080610688,2677,Index-1,200,OK,Thread Group 1-112,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610560,2811,Index,200,OK,Thread Group 1-133,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610560,135,Index-0,301,Moved Permanently,Thread Group 1-133,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610695,2676,Index-1,200,OK,Thread Group 1-133,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610566,2810,Index,200,OK,Thread Group 1-182,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610566,134,Index-0,301,Moved Permanently,Thread Group 1-182,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610700,2676,Index-1,200,OK,Thread Group 1-182,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610569,2812,Index,200,OK,Thread Group 1-44,text,true,,3869,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610569,134,Index-0,301,Moved Permanently,Thread Group 1-44,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610703,2678,Index-1,200,OK,Thread Group 1-44,text,true,,3702,146,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610574,2814,Index,200,OK,Thread Group 1-24,text,true,,3871,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610574,135,Index-0,301,Moved Permanently,Thread Group 1-24,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610709,2679,Index-1,200,OK,Thread Group 1-24,text,true,,3704,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610580,2815,Index,200,OK,Thread Group 1-146,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610580,135,Index-0,301,Moved Permanently,Thread Group 1-146,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610715,2680,Index-1,200,OK,Thread Group 1-146,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610584,2819,Index,200,OK,Thread Group 1-165,text,true,,3871,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610584,134,Index-0,301,Moved Permanently,Thread Group 1-165,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610718,2685,Index-1,200,OK,Thread Group 1-165,text,true,,3704,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610589,2819,Index,200,OK,Thread Group 1-141,text,true,,3867,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610589,133,Index-0,301,Moved Permanently,Thread Group 1-141,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610722,2686,Index-1,200,OK,Thread Group 1-141,text,true,,3700,146,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610597,2816,Index,200,OK,Thread Group 1-179,text,true,,3869,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610597,133,Index-0,301,Moved Permanently,Thread Group 1-179,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610730,2683,Index-1,200,OK,Thread Group 1-179,text,true,,3702,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610602,2817,Index,200,OK,Thread Group 1-185,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610602,134,Index-0,301,Moved Permanently,Thread Group 1-185,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610736,2683,Index-1,200,OK,Thread Group 1-185,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610608,2817,Index,200,OK,Thread Group 1-140,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610608,134,Index-0,301,Moved Permanently,Thread Group 1-140,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610742,2683,Index-1,200,OK,Thread Group 1-140,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610613,2820,Index,200,OK,Thread Group 1-107,text,true,,3848,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610613,133,Index-0,301,Moved Permanently,Thread Group 1-107,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610746,2687,Index-1,200,OK,Thread Group 1-107,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610619,2820,Index Post,200,OK,Thread Group 1-21,text,true,,4414,428,500,500,https://reservasmedicas-production.up.railway.app/signin,133,0,0
1671080610619,133,Index Post-0,301,Moved Permanently,Thread Group 1-21,,true,,192,276,500,500,http://reservasmedicas-production.up.railway.app/signin,133,0,0
1671080610753,2686,Index Post-1,200,OK,Thread Group 1-21,text,true,,4222,152,500,500,https://reservasmedicas-production.up.railway.app/signin,141,0,0
1671080610624,2821,Index,200,OK,Thread Group 1-214,text,true,,3848,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610624,135,Index-0,301,Moved Permanently,Thread Group 1-214,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610759,2686,Index-1,200,OK,Thread Group 1-214,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,139,0,0
1671080610629,2824,Index,200,OK,Thread Group 1-239,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610629,133,Index-0,301,Moved Permanently,Thread Group 1-239,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610762,2691,Index-1,200,OK,Thread Group 1-239,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610633,2824,Index,200,OK,Thread Group 1-98,text,true,,3850,292,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610633,136,Index-0,301,Moved Permanently,Thread Group 1-98,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,136,0,0
1671080610769,2688,Index-1,200,OK,Thread Group 1-98,text,true,,3683,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610639,2824,Index,200,OK,Thread Group 1-19,text,true,,3846,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
